GroupName,MemberOf
ggs_fs_administrativo,ggs_fs_global
ggs_fs_administrativo_cotacao_r,ggs_fs_administrativo
ggs_fs_administrativo_cotacao_rw,ggs_fs_administrativo
ggs_fs_administrativo_fiscal_r,ggs_fs_administrativo
ggs_fs_administrativo_fiscal_rw,ggs_fs_administrativo
ggs_fs_administrativo_rh_r,ggs_fs_administrativo
ggs_fs_administrativo_rh_rw,ggs_fs_administrativo
ggs_fs_administrativo_ti_r,ggs_fs_administrativo
ggs_fs_administrativo_ti_rw,ggs_fs_administrativo
ggs_fs_cristalina-ag,ggs_fs_global
ggs_fs_cristalina-ag_administrativo_r,ggs_fs_cristalina-ag
ggs_fs_cristalina-ag_administrativo_rw,ggs_fs_cristalina-ag
ggs_fs_cristalina-ag_geral_r,ggs_fs_cristalina-ag
ggs_fs_cristalina-ag_geral_rw,ggs_fs_cristalina-ag
ggs_fs_cristalina-jf,ggs_fs_global
ggs_fs_edeia-jf,ggs_fs_cristalina-jf
ggs_fs_edeia-jf_caixa_r,ggs_fs_cristalina-jf
ggs_fs_edeia-jf_caixa_rw,ggs_fs_cristalina-jf
ggs_fs_edeia-jf_deposito_r,ggs_fs_cristalina-jf
ggs_fs_edeia-jf_deposito_rw,ggs_fs_cristalina-jf
ggs_fs_edeia-jf_geral_r,ggs_fs_cristalina-jf
ggs_fs_edeia-jf_geral_rw,ggs_fs_global
ggs_fs_fg_r,ggs_fs_global
ggs_fs_fg_rw,ggs_fs_global
ggs_fs_goiania-ag,ggs_fs_goiania-ag
ggs_fs_goiania-ag_administrativo_r,ggs_fs_goiania-ag
ggs_fs_goiania-ag_administrativo_rw,ggs_fs_goiania-ag
ggs_fs_goiania-ag_geral_r,ggs_fs_goiania-ag
ggs_fs_goiania-ag_geral_rw,ggs_fs_goiania-ag
ggs_fs_goiania-jf,ggs_fs_global
ggs_fs_goiania-jf_caixa_r,ggs_fs_goiania-jf
ggs_fs_goiania-jf_caixa_rw,ggs_fs_goiania-jf
ggs_fs_goiania-jf_deposito_r,ggs_fs_goiania-jf
ggs_fs_goiania-jf_deposito_rw,ggs_fs_goiania-jf
ggs_fs_goiania-jf_geral_r,ggs_fs_goiania-jf
ggs_fs_goiania-jf_geral_rw,ggs_fs_goiania-jf
ggs_fs_goiatuba-ag,ggs_fs_global
ggs_fs_goiatuba-ag_administrativo_r,ggs_fs_goiatuba-ag
ggs_fs_goiatuba-ag_administrativo_rw,ggs_fs_goiatuba-ag
ggs_fs_goiatuba-ag_geral_r,ggs_fs_goiatuba-ag
ggs_fs_goiatuba-ag_geral_rw,ggs_fs_goiatuba-ag
ggs_fs_goiatuba-jf,ggs_fs_goiatuba-ag
ggs_fs_goiatuba-jf_caixa_r,ggs_fs_global
ggs_fs_goiatuba-jf_caixa_rw,ggs_fs_goiatuba-jf
ggs_fs_goiatuba-jf_deposito_r,ggs_fs_goiatuba-jf
ggs_fs_goiatuba-jf_deposito_rw,ggs_fs_goiatuba-jf
ggs_fs_goiatuba-jf_geral_r,ggs_fs_goiatuba-jf
ggs_fs_goiatuba-jf_geral_rw,ggs_fs_goiatuba-jf
ggs_fs_itaberai-jf,ggs_fs_goiatuba-jf
ggs_fs_itaberai-jf_caixa_r,ggs_fs_global
ggs_fs_itaberai-jf_caixa_rw,ggs_fs_itaberai-jf
ggs_fs_itaberai-jf_deposito_r,ggs_fs_itaberai-jf
ggs_fs_itaberai-jf_deposito_rw,ggs_fs_itaberai-jf
ggs_fs_itaberai-jf_geral_r,ggs_fs_itaberai-jf
ggs_fs_itaberai-jf_geral_rw,ggs_fs_itaberai-jf
ggs_fs_morrinhos-jf,ggs_fs_itaberai-jf
ggs_fs_morrinhos-jf_caixa_r,ggs_fs_morrinhos-jf
ggs_fs_morrinhos-jf_caixa_rw,ggs_fs_morrinhos-jf
ggs_fs_morrinhos-jf_deposito_r,ggs_fs_morrinhos-jf
ggs_fs_morrinhos-jf_deposito_rw,ggs_fs_morrinhos-jf
ggs_fs_morrinhos-jf_geral_r,ggs_fs_morrinhos-jf
ggs_fs_morrinhos-jf_geral_rw,ggs_fs_morrinhos-jf
ggs_fs_publica,ggs_fs_publica
ggs_fs_scans,ggs_fs_global
ggs_fs_uruacu-jf,ggs_fs_global
ggs_fs_uruacu-jf_caixa_r,ggs_fs_uruacu-jf
ggs_fs_uruacu-jf_caixa_rw,ggs_fs_uruacu-jf
ggs_fs_uruacu-jf_deposito_r,ggs_fs_uruacu-jf
ggs_fs_uruacu-jf_deposito_rw,ggs_fs_uruacu-jf
ggs_fs_uruacu-jf_geral_r,ggs_fs_uruacu-jf
ggs_fs_uruacu-jf_geral_rw,ggs_fs_uruacu-jf
ggs_fs_vicentinopolis-jf,ggs_fs_global
ggs_fs_vicentinopolis-jf_caixa_r,ggs_fs_vicentinopolis-jf
ggs_fs_vicentinopolis-jf_caixa_rw,ggs_fs_vicentinopolis-jf
ggs_fs_vicentinopolis-jf_deposito_r,ggs_fs_vicentinopolis-jf
ggs_fs_vicentinopolis-jf_deposito_rw,ggs_fs_vicentinopolis-jf
ggs_fs_vicentinopolis-jf_geral_r,ggs_fs_vicentinopolis-jf
ggs_fs_vicentinopolis-jf_geral_rw,ggs_fs_vicentinopolis-jf
